ID,Var01,Var02,Var03,Var04,Var05,Var06,Var07,Var08,Var09,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23
1,MTMwMjYyODcxOQ==,MTU=,aHR0cDovL2tpb3B0cml4My5jb20vaW5kZXgucGhw,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,V2l0aCBUaGFua3MgVG8gfg==,U2l0ZSBMaW5rcyB+,UGhvdG8gR2FsbGVyeSBTY3JpcHQ=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS90b3VyLnBocA==,SG9zdCBNdWx0aXBsZSBTaXRlcw==,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
2,MTMwMjYyODgwNg==,MTU=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9bnVsbCthbmQrMT0yK3VuaW9uK3NlbGVjdCsxLGdyb3VwX2NvbmNhdCh1c2VyaWQsMHgzYSx1c2VybmFtZSwweDNhLHBhc3N3b3JkKSwzLDQsNSw2Kytmcm9tK2dhbGxhcmlmaWNfdXNlcnMtLQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,SW1wbGVtZW50ZWQgQnk6,R3JhY2lvdXMgVGhhbmtzOg==,UEhQIFBob3RvIEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,SG9zdCBSZXNlbGxlciBTaXRlcw==,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
3,MTMwMjYyODg0OA==,MTQ=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9MQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,VGhhbmtzIFRv,V2ViIExpbmtz,UEhQIFBpY3R1cmUgR2FsbGVyeQ==,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,RmFzdCBTZXJ2ZXIgSG9zdA==,aHR0cDovL3d3dy5zYWNob3N0LmNvbS8=,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
4,MTMwMjYyODg3Mw==,MTU=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9NDg=,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,SW1wbGVtZW50ZWQgQnk6,R3JhY2lvdXMgVGhhbmtzOg==,UGhvdG8gR2FsbGVyeSBTY3JpcHRz,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,TXVsdGlwbGUgRG9tYWluIEhvc3Rpbmc=,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
5,MTMwMjYyODg4MA==,MjQ=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9NTIyOA==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,SW1wbGVtZW50ZWQgQnk6,R3JhY2lvdXMgVGhhbmtzOg==,R2FsbGVyeSBQaG90byBQSFAgU2NyaXB0,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,QnV5IFNTTCBDZXJ0aWZpY2F0ZQ==,aHR0cDovL3d3dy5icmlnaHQtYnl0ZS5jb20vc3NsLw==,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
6,MTMwMjYyODg4OQ==,MjU=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9MSUyMEFORCUyMDk0MjA9MTQ4MQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,Q29uZmVycmVkIEJ5IH4=,TW9yZSBTaXRlcyB+,UGl4IEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS9mYXEucGhw,R2VvVHJ1c3QgU1NMIENlcnRpZmljYXRl,aHR0cDovL3d3dy5icmlnaHQtYnl0ZS5jb20vc3NsLw==,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
7,MTMwMjYyODg5Nw==,MjQ=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9MSUyMEFORCUyMDEyOTY9MTI5Ng==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,QXNzb2NpYXRlZCBXaXRoIC0=,T3RoZXIgTGlua3MgLQ==,UEhQIFBob3RvcyBTY3JpcHQ=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,RmFudGFzdGljbyBIb3N0,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
8,MTMwMjYyODkwNw==,MTM=,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9MSUyMEFORCUyMFNMRUVQJTI4NSUyOQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,UHJvdmlkZWQgYnkgLS0=,T3RoZXIgTGlua3MgLS0=,UEhQIFBob3RvIEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,RmFudGFzdGljbyBIb3N0,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
9,MTMwMjYzMTM3MA==,MTc=,aHR0cDovL2tpb3B0cml4My5jb20vcC5waHAvMQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,Q29uZmVycmVkIEJ5IH4=,TW9yZSBTaXRlcyB+,UEhQIFBob3RvIEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,UmVzZWxsZXIgQWNjb3VudCBIb3N0,aHR0cDovL3d3dy5teWN3cy5jb20vaG9zdGluZy9yZXNlbGxlci8=,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
10,MTMwMjYzNTQ5Nw==,MjU=,aHR0cDovL2tpb3B0cml4My5jb20vZy5waHAvMQ==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,SW1wbGVtZW50ZWQgQnk6,R3JhY2lvdXMgVGhhbmtzOg==,R2FsbGFyaWZpYw==,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS92aWRlby5waHA=,RmFzdGVyIFdlYiBIb3N0,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
11,MTMwMjYzNTUxMA==,MTA=,aHR0cDovL2tpb3B0cml4My5jb20vcmVjZW50LnBocA==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,TWFkZSBQb3NzaWJsZSBCeTo=,VGhhbmtzIFRvOg==,UGhvdG8gR2FsbGVyeSBTY3JpcHQ=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS90b3VyLnBocA==,Q2hlYXBlc3QgRG9tYWluIE5hbWVz,aHR0cDovL3d3dy5icmlnaHQtYnl0ZS5jb20vY3AvY2hlY2sucGhw,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
12,MTMwMjYzNTU5MQ==,MjM=,aHR0cDovL2tpb3B0cml4My5jb20vbG9nb3V0LnBocA==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,UHJlc2VudGVkIEJ5IDo6,TXVjaCBUaGFua3MgOjo=,UEhQIFBob3RvIEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,UmVzZWxsZXIgQWNjb3VudCBIb3N0,aHR0cDovL3d3dy5teWN3cy5jb20vaG9zdGluZy9yZXNlbGxlci8=,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
13,MTMwMjYzODQwOA==,MjE=,aHR0cDovL2tpb3B0cml4My5jb20vcHJvZmlsZS5waHA=,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,UHJvdmlkZWQgYnkgLS0=,T3RoZXIgTGlua3MgLS0=,UGhvdG8gU2hhcmluZyBHYWxsZXJ5,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS92aWRlby5waHA=,SG9zdCBNdWx0aXBsZSBEb21haW5z,aHR0cDovL3d3dy5kZWFkc2VyaW91cy5uZXQv,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>
14,MTMwMjY1MTc5Mg==,MjY=,aHR0cDovL2tpb3B0cml4My5jb20vcC5waHAvMg==,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,VGhhbmtzIHRvID4=,QWxzbyA+,UEhQIFBob3RvIEdhbGxlcnk=,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS8=,U2FjcmFtZW50byBIb3N0aW5n,aHR0cDovL3d3dy5zYWNob3N0LmNvbS8=,<blank>,<blank>,Q2hlYXAgU1NMIENlcnRpZmljYXRl,aHR0cDovL3d3dy5icmlnaHQtYnl0ZS5jb20vc3NsLw==,<blank>,<blank>,<blank>
15,MTMwMjY1MjA4NQ==,Nw==,aHR0cDovL2tpb3B0cml4My5jb20vZ2FsbGVyeS5waHA/aWQ9MSZzb3J0PXBob3RvaWQ=,AA==,MA==,<blank>,I2JjYmNiYw==,<blank>,VGFob21hLCBWZXJkYW5h,MTFweDs=,Q29tcGxpbWVudHMgT2Y6,QWRkaXRpb25hbCBUaGFua3M6,UEhQIFBob3RvIFNvZnR3YXJl,aHR0cDovL3d3dy5nYWxsYXJpZmljLmNvbS92aWRlby5waHA=,QnV5IFNTTCBDZXJ0aWZpY2F0ZQ==,aHR0cDovL3d3dy5icmlnaHQtYnl0ZS5jb20vc3NsLw==,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>,<blank>

